S4_GelataTuber_up	S5_GelataTuber_up	S6_GelataTuber_up	S7_GelataTuber_basal	S8_GelataTuber_basal	S9_GelataTuber_basal
GelC01G00123	4.58520614216412	4.49712045887518	4.80280379051362	4.35901205638809	4.7439135836195	4.48091016925167
GelC01G00125	5.02536952677254	4.90907273090479	5.31707112694726	4.43361021287682	4.5589327696975	4.79780471237794
GelC01G00126	7.06017189351712	6.98714069869282	7.55449788973459	6.26956022940906	6.11517888131002	6.18342704980811
GelC01G00128	4.26303904445645	4.25952120507974	3.51774752748488	3.51675263967738	3.59496027170316	3.79765228103027
GelC01G00129	3.38232903373571	3.66661102992288	2.1776097067582	2.29628590030242	2.89688688624077	2.45479180086102
GelC01G00130	6.42690556026924	6.5167346599015	6.25914128005402	6.29646045160094	6.42365807725277	6.26654044107683
GelC01G00131	5.75705576451469	5.53554207833425	5.10831687071005	5.88703446533527	6.02429288556006	5.78768461442706
GelC01G00134	5.32506190961497	4.95670437927567	6.29777738940062	5.38391302571242	5.01962826644773	4.94269290442659
GelC01G00135	1.64021968898736	1.77410413993219	1.18388507426881	2.6281677236809	2.27149662747124	2.03949649971371
GelC01G00138	1.98280552878171	1.85677113577207	1.87098402425238	0.138099943204526	0.852185117899341	2.03949649971371
GelC01G00139	5.56673615074778	5.81938359642098	5.84640122328163	5.49839467787496	5.20445704484733	5.48731928734817
GelC01G00142	4.339451533039	4.21320608140164	3.40429434292934	3.66861120330449	3.68813362186264	4.21783778981358
GelC01G00143	5.2157878180373	5.2368839643234	5.01090870804872	4.50453999070424	4.25830218701706	4.73551370955078
GelC01G00147	4.13168068639356	3.87929170454363	4.4494499599506	4.66796063988553	4.52144426122255	4.62531816090426
GelC01G00148	5.52153197293763	5.57880330695693	6.3354057338259	5.81444514304158	5.40990088947918	4.97899245871803
GelC01G00149	4.89977459137263	4.54776578937786	4.68142981245136	4.45764303421952	4.11464372355948	4.04026976715681
GelC01G00150	4.68229276966463	4.60867031253122	4.48336700683855	5.80041845553003	5.7495586222912	5.81805986238907
GelC01G00152	5.99770048712874	6.04327950487508	5.79330843051497	6.00588975224973	6.20856155683349	6.10347556949321
GelC01G00153	5.82773059661238	5.83985084455246	5.83331007479653	5.17510930647708	5.37529516975952	5.50609771651572
GelC01G00154	5.84355997112681	5.93804572458856	6.3629966164468	6.11569416209784	5.92729406168306	5.87213929982584
GelC01G00156	0.898338175420437	-0.000307387759503906	-0.174726859299332	2.54087209975248	2.14573294375309	1.55365709370891
